Avg_Hosp,Facility ID,State,Period,Claim Type,Avg_State,Avg_Nation,Percent_Hosp,Percent_State,Percent_Nation
0.0,30071,4,1,2,1.0,1.0,0.0,0.0,0.0
660.0,450659,43,3,1,879.0,825.0,0.024700000000000003,0.0377,0.0381
181.0,140013,15,3,2,124.0,149.0,0.0098,0.005699999999999999,0.0069
225.0,50342,5,3,2,156.0,149.0,0.011699999999999999,0.006999999999999999,0.0069
43.0,490084,45,3,6,81.0,89.0,0.0024,0.0039000000000000003,0.0040999999999999995
4816.0,310058,31,3,5,4512.0,3228.0,0.26739999999999997,0.19899999999999998,0.1491
6.0,50135,5,1,3,4.0,7.0,0.0002,0.0002,0.0003
0.0,190300,19,3,2,201.0,149.0,0.0,0.009000000000000001,0.0069
768.0,450604,43,3,7,1398.0,1174.0,0.0397,0.0599,0.0542
827.0,310081,31,3,1,707.0,825.0,0.0407,0.031200000000000002,0.0381
13.0,500003,47,2,6,15.0,19.0,0.0007000000000000001,0.0007000000000000001,0.0009
73.0,360020,35,1,4,165.0,152.0,0.0034000000000000002,0.0075,0.006999999999999999
1215.0,390228,38,3,1,910.0,825.0,0.0592,0.0424,0.0381
136.0,490024,45,3,2,161.0,149.0,0.0059,0.0078000000000000005,0.0069
650.0,50360,5,3,4,769.0,855.0,0.0321,0.0345,0.0395
145.0,410010,39,3,6,82.0,89.0,0.0091,0.004,0.0040999999999999995
0.0,390081,38,2,2,0.0,0.0,0.0,0.0,0.0
571.0,330088,34,3,4,747.0,855.0,0.0321,0.0349,0.0395
0.0,460023,44,1,3,6.0,7.0,0.0,0.0003,0.0003
157.0,290021,33,3,2,144.0,149.0,0.0062,0.0062,0.0069
9260.0,330157,34,2,3,9880.0,10139.0,0.5024000000000001,0.461,0.46840000000000004
111.0,110101,11,1,3,6.0,7.0,0.009399999999999999,0.0003,0.0003
505.0,450833,43,1,7,661.0,585.0,0.024,0.028300000000000002,0.027000000000000003
932.0,450330,43,3,4,837.0,855.0,0.0391,0.0358,0.0395
0.0,370114,36,1,2,1.0,1.0,0.0,0.0001,0.0
590.0,250077,25,3,1,898.0,825.0,0.042,0.0429,0.0381
453.0,420038,40,3,4,863.0,855.0,0.0231,0.0407,0.0395
101.0,190064,19,3,6,117.0,89.0,0.0042,0.0052,0.0040999999999999995
0.0,60030,6,2,1,0.0,0.0,0.0,0.0,0.0
20490.0,100109,10,4,8,21985.0,21646.0,1.0,1.0,1.0
1579.0,50551,5,3,7,1250.0,1174.0,0.0728,0.055999999999999994,0.0542
9117.0,450222,43,2,3,10339.0,10139.0,0.396,0.4429,0.46840000000000004
122.0,670078,43,2,7,1596.0,1545.0,0.0155,0.0684,0.07139999999999999
1209.0,110042,11,2,7,1500.0,1545.0,0.0733,0.07150000000000001,0.07139999999999999
0.0,250097,25,2,5,0.0,0.0,0.0,0.0,0.0
0.0,50262,5,2,2,0.0,0.0,0.0,0.0,0.0
2401.0,230031,22,3,3,2683.0,2857.0,0.1231,0.1273,0.132
0.0,420108,40,2,5,0.0,0.0,0.0,0.0,0.0
10.0,30103,4,1,6,8.0,8.0,0.0004,0.0003,0.0004
0.0,450871,43,1,3,7.0,7.0,0.0,0.0003,0.0003
1414.0,440017,42,2,7,1487.0,1545.0,0.0647,0.0677,0.07139999999999999
360.0,420102,40,3,5,2595.0,3228.0,0.0222,0.12240000000000001,0.1491
1512.0,330194,34,2,7,1617.0,1545.0,0.0626,0.0755,0.07139999999999999
0.0,240043,23,1,2,0.0,1.0,0.0,0.0,0.0
0.0,50567,5,2,5,0.0,0.0,0.0,0.0,0.0
0.0,170103,17,2,5,0.0,0.0,0.0,0.0,0.0
4.0,390079,38,1,5,2.0,2.0,0.0002,0.0001,0.0001
12.0,450885,43,1,1,18.0,13.0,0.0005,0.0008,0.0006
87.0,390111,38,3,2,131.0,149.0,0.0031,0.0060999999999999995,0.0069
915.0,170049,17,3,4,912.0,855.0,0.0436,0.0425,0.0395
102.0,140048,15,3,6,87.0,89.0,0.0046,0.004,0.0040999999999999995
423.0,10086,2,1,7,537.0,585.0,0.0302,0.0259,0.027000000000000003
21941.0,180038,18,4,8,21081.0,21646.0,1.0,1.0,1.0
8.0,10045,2,1,5,2.0,2.0,0.0005,0.0001,0.0001
0.0,200037,21,2,5,0.0,0.0,0.0,0.0,0.0
142.0,130066,14,3,6,80.0,89.0,0.006500000000000001,0.0037,0.0040999999999999995
0.0,370234,36,2,2,0.0,0.0,0.0,0.0,0.0
2993.0,10114,2,3,3,3004.0,2857.0,0.15380000000000002,0.1446,0.132
8236.0,670060,43,2,3,10339.0,10139.0,0.36939999999999995,0.4429,0.46840000000000004
112.0,370034,36,3,6,99.0,89.0,0.0064,0.0046,0.0040999999999999995
6005.0,390272,38,2,3,9844.0,10139.0,0.6642,0.4585,0.46840000000000004
8.0,420068,40,1,3,7.0,7.0,0.0004,0.0003,0.0003
0.0,370218,36,1,3,9.0,7.0,0.0,0.0004,0.0003
0.0,500072,47,2,2,0.0,0.0,0.0,0.0,0.0
108.0,10036,2,1,4,108.0,152.0,0.0066,0.0052,0.006999999999999999
787.0,390066,38,3,4,839.0,855.0,0.0364,0.0391,0.0395
12787.0,10109,2,4,8,20779.0,21646.0,1.0,1.0,1.0
9.0,170133,17,1,6,8.0,8.0,0.0005,0.0004,0.0004
1507.0,500124,47,2,7,1484.0,1545.0,0.0748,0.0711,0.07139999999999999
0.0,420104,40,2,5,0.0,0.0,0.0,0.0,0.0
19.0,390146,38,1,4,117.0,152.0,0.0012,0.0054,0.006999999999999999
87.0,330250,34,3,2,83.0,149.0,0.0048,0.0039000000000000003,0.0069
7.0,230036,22,1,1,11.0,13.0,0.0004,0.0005,0.0006
17583.0,390183,38,4,8,21471.0,21646.0,1.0,1.0,1.0
187.0,30122,4,3,2,172.0,149.0,0.009000000000000001,0.0078000000000000005,0.0069
405.0,360058,35,1,7,597.0,585.0,0.0254,0.027200000000000002,0.027000000000000003
0.0,150167,16,1,3,6.0,7.0,0.0,0.0003,0.0003
969.0,530014,50,3,4,844.0,855.0,0.048,0.0429,0.0395
3.0,490127,45,1,6,7.0,8.0,0.0002,0.0003,0.0004
90.0,190060,19,3,6,117.0,89.0,0.004,0.0052,0.0040999999999999995
532.0,150177,16,3,1,594.0,825.0,0.0203,0.0273,0.0381
856.0,450419,43,3,7,1398.0,1174.0,0.052199999999999996,0.0599,0.0542
985.0,190065,19,3,4,1007.0,855.0,0.0409,0.0447,0.0395
4494.0,100183,10,3,3,2949.0,2857.0,0.2078,0.1341,0.132
0.0,420089,40,1,5,2.0,2.0,0.0,0.0001,0.0001
149.0,10055,2,3,6,103.0,89.0,0.0066,0.005,0.0040999999999999995
512.0,260175,24,3,1,686.0,825.0,0.0317,0.0322,0.0381
1386.0,290009,33,2,7,1663.0,1545.0,0.065,0.0723,0.07139999999999999
19521.0,320063,32,4,8,20371.0,21646.0,1.0,1.0,1.0
0.0,310014,31,2,5,0.0,0.0,0.0,0.0,0.0
1050.0,360203,35,3,4,902.0,855.0,0.0556,0.041100000000000005,0.0395
